sa2_code,National Parks (%) 2014
101011002,5
101011004,3.7
101011006,0.3
101021007,10.5
101021011,8.5
101031013,19.9
101031015,15
101031016,39.4
101041017,18.4
101041019,14.1
101041020,24.9
101041022,10.3
101041023,26.4
101041024,21.7
101041025,6.8
101041026,4.8
101041027,9.2
102011029,41.6
102011030,38.3
102011033,24
102011037,43.6
102011040,52.3
102011041,4.5
102011042,44.4
102021044,5.1
102021046,23.8
102021047,3
102021049,19.4
102021050,37.4
102021051,26.7
102021052,12.1
102021053,28
102021054,6.1
102021055,4.3
103011061,11.3
103021064,4.3
103021065,1
103021066,3.5
103021068,3
103031070,10.6
103031071,8.8
103031073,3.7
103031074,5.1
103031075,13
103041079,4.4
104011081,7.5
104011082,17.7
104021083,15.6
104021086,2.8
104021087,14.5
104021089,25.6
104021090,4
104021091,11.8
105011092,3.5
105011093,1.4
105011094,1.7
105011095,0.1
105011096,1.4
105021098,4.3
105031099,3.2
105031103,12.9
105031104,4.6
105031105,0.7
106011107,1.9
106011108,6.4
106011109,6.9
106011110,2
106011111,7.3
106011113,1.4
106031119,7.9
106031120,19.6
106031121,37.4
106031122,14.2
106031123,5.8
106031124,13.6
106031125,22.3
106041127,1.4
106041128,0.7
106041129,6.8
107011132,10.6
107011134,23.6
107021135,1.5
107031136,14.2
107031140,19.2
107041144,3.1
107041145,17.4
107041146,22.7
107041147,26.3
107041148,23.1
107041150,11
108011151,21.5
108011152,35.9
108011153,13.4
108021155,2.7
108021156,10.1
108021157,7
108021158,1.4
108021159,8.2
108021160,47
108031161,80
108041162,14.2
108041163,1.7
108041165,12.2
108041166,3
108051167,8.8
108051168,0.2
108051170,9
109011175,5.5
109021177,3.2
109021179,4.2
109031180,1.6
109031183,2.2
109031185,0.4
110011187,2.6
110011189,7.4
110021190,2.1
110021191,5
110021192,5.7
110021193,2.9
110021194,9.1
110031196,0.6
110031197,0.5
110031198,9.7
110041200,1.5
110041201,1.6
110041205,1
111011208,13.6
111011212,23.5
111021215,2.1
111021218,14.7
111021219,3.7
111021220,4.3
111021221,20.1
111031222,2.2
111031223,15.3
111031228,30.3
111031230,40.9
111031231,0.3
111031232,17.6
112011240,2.3
112011241,10.3
112011243,14.2
112021245,7.9
112021247,9
112021249,6.3
112031252,14.8
112031253,3.9
113011257,3.6
113011258,3
113011259,0.6
113021260,45.8
113021261,0.6
113021262,39.2
113031263,0.6
113031266,0.2
113031271,0.4
114011272,11.1
114011273,19
114011274,0.1
114011275,71.6
114011276,31.3
114011279,9.5
114011280,6.2
114011281,6.8
114011282,3.5
114011283,29
114021285,25.5
114021288,25.6
114021289,3.7
115011293,15.6
115021297,10.2
115021298,49.8
115031299,16.7
115031300,5.5
117031337,1.3
118011346,8
118021350,10.1
121011399,1.9
121021403,64.3
121021404,44.8
121021405,7.6
121021406,15.8
121031407,10.9
121031408,8
121031409,4.8
121031410,26.1
121031411,38.1
121031412,12.8
121041415,10.6
122011418,12.7
122011419,27.2
122021420,4.1
122021421,71.9
122031427,35.6
122031428,16.7
122031432,79.1
123021436,15.2
123021439,4.9
123031446,12.8
123031447,3.8
123031448,23.9
124011449,0.2
124011450,1.8
124011451,99.4
124011452,9.7
124011453,14.5
124011454,0.1
124021456,67.5
124031463,4.9
124031465,30.1
124041468,0.5
126011495,5.3
126011496,19.4
126021500,16.8
126021501,12.2
127011505,0.3
128011528,13.7
128021533,82.4
128021535,0.2
128021537,98.6
201021009,16.2
201031013,1.7
201031014,0.4
201031015,4.5
201031016,0.6
201031017,1.2
202011019,1.5
202011020,0.1
202011021,16
202011022,12.8
202011024,18.2
202011025,7.5
202021026,2.7
202021029,5.2
202031032,8.9
202031033,2.5
203011035,2
203011036,1
203021043,4.4
203031049,71.2
203031053,2.7
204011054,11.1
204011057,13
