Location,sa3_code,Building Approvals - Value of total building ($M) 2016,Building Approvals - Value of private sector houses ($m) 2016,Estimated Resident Population - Persons - Total (2015),Population density (ERP at 30 June) (persons/km2) 2015, Total number of businesses  (2015),Total employed by Industry (no.) Census (2011),Estimates of Personal Income - Median employee income ($) 2013,Persons with Post School Qualifications - With Bachelor Degree (%) Census (2011),Access to Internet at Home - Proportion of all occupied private dwellings (%) Census (2011),Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%) Census 2011,Method of Travel to Work - Used one method - Train or tram (no.) 2011,Method of Travel to Work - Used one method - Bus (no.) 2011,Method of Travel to Work - Used one method - Car (as driver or passenger) (no.) 2011,Method of Travel to Work - Used one method - Walked only (no.) 2011
Queanbeyan,10102,246,120,57847,8.9,4562,29313,59481,13.1,76.6,2.6,16,310,22514,764
Wollongong,10704,510,111,131834,549.5,8653,53886,51660,14.3,72.9,1.7,2120,1033,36243,2180
Albury,10901,212,157,61905,11.1,5769,26890,43916,10,69.5,2.3,17,133,19990,1029
Newcastle,11103,618,149,169016,751.6,12353,73064,50190,14.2,70.4,2.7,553,1562,51963,2744
Baulkham Hills,11501,520,245,149635,2078.2,15737,69104,57308,21.7,88.3,0.3,845,6457,46294,776
Dural - Wisemans Ferry,11502,74,60,27379,48.1,4370,13003,47643,15.4,82.3,0.5,108,250,8594,389
Hawkesbury,11503,37,32,25308,10.2,2585,12411,48221,9.8,78.1,1.7,102,42,9016,193
Rouse Hill - McGraths Hill,11504,550,238,30831,260.5,3307,14055,54872,14.6,84.8,0.9,175,488,9961,208
Blacktown,11601,516,121,137465,2443.2,8581,56950,49062,12.9,74.3,2,5935,1112,36925,871
Blacktown - North,11602,908,603,90791,881.4,5330,38059,56494,17.5,84.8,1.3,2380,1734,25654,408
Mount Druitt,11603,295,64,113759,1373,4488,39922,46931,9.2,71.8,4.5,3382,507,26913,558
Botany,11701,717,23,46587,1675.7,4762,18401,50128,14,70.7,1.6,698,2472,10455,999
Marrickville - Sydenham - Petersham,11702,129,38,55879,4410.6,5857,27084,53489,22.2,75.6,1.6,5588,2313,10757,1439
Sydney Inner City,11703,4299,54,211001,8424.4,62034,100214,50000,27.4,74.4,1.3,13754,12823,25335,24686
Eastern Suburbs - North,11801,782,327,137648,5278.8,19805,63562,56769,29.8,76.8,0.3,5164,5944,27175,4677
Eastern Suburbs - South,11802,456,107,145822,4622.4,11683,63017,55162,22.3,76,1.4,324,12962,30506,3873
Bankstown,11901,601,132,177682,2587.9,14709,61734,45618,10.5,69.6,0.8,6410,808,41015,1166
Canterbury,11902,410,62,138333,4614.9,12399,48675,42255,12.6,68.7,0.5,7168,1166,29192,1197
